"TownsNM","region","town_area_ha","current_can_ha","current_can_prop","n_trees_plantable","n_trees_plantable_npg","n_trees_plantable_pub","gained_can_ha","gained_can_npg_ha","gained_can_pub_ha","potential_can_ha","potential_can_npg_ha","potential_can_pub_ha","potential_can_prop","potential_can_npg_prop","potential_can_pub_prop","shortfall_prop","shortfall_npg_prop","shortfall_pub_prop"
"Barking and Dagenham","GrLondEng",3608.4325659,321.018832,0.089,156303,48744,48184,500.1696,155.9808,154.1888,821.1884,476.9996,475.2076,0.2276,0.1322,0.1317,-0.0276,0.0678,0.0683
"Barnet","GrLondEng",8675.09136117,1902.12823,0.2193,361332,78799,72123,1156.2624,252.1568,230.7936,3058.3906,2154.285,2132.9218,0.3525,0.2483,0.2459,-0.1525,-0.0483,-0.0459
"Barnsley","YorkHumberEng",5362.22730686,668.030585,0.1246,179137,59904,57551,573.2384,191.6928,184.1632,1241.269,859.7234,852.1938,0.2315,0.1603,0.1589,-0.0315,0.0397,0.0411
"Basildon","EastEng",5042.30078523,955.306848,0.1895,136966,38246,36217,438.2912,122.3872,115.8944,1393.598,1077.694,1071.2012,0.2764,0.2137,0.2124,-0.0764,-0.0137,-0.0124
"Basingstoke","SEEng",3455.90818211,665.700513,0.1926,150162,42342,40732,480.5184,135.4944,130.3424,1146.2189,801.1949,796.0429,0.3317,0.2318,0.2303,-0.1317,-0.0318,-0.0303
"Bath","SWEng",3942.3811848,1014.475603,0.2573,127837,27117,23781,409.0784,86.7744,76.0992,1423.554,1101.25,1090.5748,0.3611,0.2793,0.2766,-0.1611,-0.0793,-0.0766
"Bedford","EastEng",3361.79426301,402.625099,0.1198,127517,39572,37339,408.0544,126.6304,119.4848,810.6795,529.2555,522.1099,0.2411,0.1574,0.1553,-0.0411,0.0426,0.0447
"Bexley","GrLondEng",6054.09996278,984.903423,0.1627,281061,62888,60889,899.3952,201.2416,194.8448,1884.2986,1186.145,1179.7482,0.3112,0.1959,0.1949,-0.1112,0.00410000000000002,0.00510000000000002
"Birkenhead","NWEng",2542.29939762,415.756282,0.1635,117986,33212,31048,377.5552,106.2784,99.3536,793.3115,522.0347,515.1099,0.312,0.2053,0.2026,-0.112,-0.0053,-0.00259999999999999
"Birmingham","WMidlandEng",26126.00355122,4197.362621,0.1607,1242381,336333,314237,3975.6192,1076.2656,1005.5584,8172.9818,5273.6282,5202.921,0.3128,0.2019,0.1991,-0.1128,-0.00189999999999999,0.000900000000000012
"Blackburn","NWEng",4400.47328398,455.611315,0.1035,151230,50478,47284,483.936,161.5296,151.3088,939.5473,617.1409,606.9201,0.2135,0.1402,0.1379,-0.0135,0.0598,0.0621
"Blackpool","NWEng",4253.80490781,262.664262,0.0617,213349,63983,60131,682.7168,204.7456,192.4192,945.3811,467.4099,455.0835,0.2222,0.1099,0.107,-0.0222,0.0901,0.093
"Bolton","NWEng",5414.01826175,1043.171228,0.1927,195320,47533,44296,625.024,152.1056,141.7472,1668.1952,1195.2768,1184.9184,0.3081,0.2208,0.2189,-0.1081,-0.0208,-0.0189
"Bournemouth","SWEng",4873.98341956,908.86182,0.1865,231955,31825,28838,742.256,101.84,92.2816,1651.1178,1010.7018,1001.1434,0.3388,0.2074,0.2054,-0.1388,-0.00739999999999999,-0.00539999999999999
"Bracknell","SEEng",2541.85937848,674.080849,0.2652,108049,26063,25138,345.7568,83.4016,80.4416,1019.8376,757.4824,754.5224,0.4012,0.298,0.2968,-0.2012,-0.098,-0.0968
"Bradford","YorkHumberEng",11537.6788014,1423.91186,0.1234,407584,118572,111946,1304.2688,379.4304,358.2272,2728.1807,1803.3423,1782.1391,0.2365,0.1563,0.1545,-0.0365,0.0437,0.0455
"Brent","GrLondEng",4322.96677874,585.517906,0.1354,197584,38153,36479,632.2688,122.0896,116.7328,1217.7867,707.6075,702.2507,0.2817,0.1637,0.1624,-0.0817,0.0363,0.0376
"Brighton and Hove","SEEng",4568.90357431,549.870793,0.1204,178816,44159,40118,572.2112,141.3088,128.3776,1122.082,691.1796,678.2484,0.2456,0.1513,0.1484,-0.0456,0.0487,0.0516
"Bristol","SWEng",14515.75472204,2430.659362,0.1674,599349,138422,128483,1917.9168,442.9504,411.1456,4348.5762,2873.6098,2841.805,0.2996,0.198,0.1958,-0.0996,0.002,0.00420000000000001
"Bromley","GrLondEng",11894.10657281,3000.849199,0.2523,465453,86550,73129,1489.4496,276.96,234.0128,4490.2988,3277.8092,3234.862,0.3775,0.2756,0.272,-0.1775,-0.0756,-0.072
"Burnley","NWEng",3132.94624692,390.140906,0.1245,104273,38526,37069,333.6736,123.2832,118.6208,723.8145,513.4241,508.7617,0.231,0.1639,0.1624,-0.031,0.0361,0.0376
"Burton upon Trent","WMidlandEng",3564.33692221,455.521384,0.1278,116324,25354,22623,372.2368,81.1328,72.3936,827.7582,536.6542,527.915,0.2322,0.1506,0.1481,-0.0322,0.0494,0.0519
"Bury","NWEng",3923.19483962,619.531156,0.1579,123445,39424,38016,395.024,126.1568,121.6512,1014.5552,745.688,741.1824,0.2586,0.1901,0.1889,-0.0586,0.00990000000000002,0.0111
"Cambridge","EastEng",6396.61720757,595.257629,0.0931,228462,86213,69823,731.0784,275.8816,223.4336,1326.336,871.1392,818.6912,0.2073,0.1362,0.128,-0.0073,0.0638,0.072
"Camden","GrLondEng",2179.0917606,477.17695,0.219,72527,25326,25380,232.0864,81.0432,81.216,709.2634,558.2202,558.393,0.3255,0.2562,0.2563,-0.1255,-0.0562,-0.0563
"Cardiff","Wales",11007.23839369,1933.566528,0.1757,393319,104401,98284,1258.6208,334.0832,314.5088,3192.1873,2267.6497,2248.0753,0.29,0.206,0.2042,-0.09,-0.00599999999999998,-0.00419999999999998
"Carlisle","NWEng",2641.81450934,244.518372,0.0926,115716,39653,36490,370.2912,126.8896,116.768,614.8096,371.408,361.2864,0.2327,0.1406,0.1368,-0.0327,0.0594,0.0632
"Chatham","SEEng",2076.97609665,561.040414,0.2701,92631,18676,18033,296.4192,59.7632,57.7056,857.4596,620.8036,618.746,0.4128,0.2989,0.2979,-0.2128,-0.0989,-0.0979
"Chelmsford","EastEng",4201.64621297,558.57157,0.1329,148555,29927,26255,475.376,95.7664,84.016,1033.9476,654.338,642.5876,0.2461,0.1557,0.1529,-0.0461,0.0443,0.0471
"Cheltenham","SWEng",4286.29675449,517.889503,0.1208,170962,31304,27611,547.0784,100.1728,88.3552,1064.9679,618.0623,606.2447,0.2485,0.1442,0.1414,-0.0485,0.0558,0.0586
"Chester","NWEng",3063.09589684,386.388357,0.1261,129643,28340,24092,414.8576,90.688,77.0944,801.246,477.0764,463.4828,0.2616,0.1557,0.1513,-0.0616,0.0443,0.0487
"Chesterfield","EMidlandEng",4082.27081565,781.479981,0.1914,159040,35518,32545,508.928,113.6576,104.144,1290.408,895.1376,885.624,0.3161,0.2193,0.2169,-0.1161,-0.0193,-0.0169
"City of London","GrLondEng",289.25497778,9.426961,0.0326,3408,3320,3181,10.9056,10.624,10.1792,20.3326,20.051,19.6062,0.0703,0.0693,0.0678,0.1297,0.1307,0.1322
